R	53.373	-6.20442	A132	20 May 2024	A132\n16:50 - Dublin Connolly to Belfast (0 mins late)\nDeparted Killester next stop Dundalk	Northbound
R	53.3755	-6.33135	P752	20 May 2024	P752\n16:26 - Maynooth to Dublin Connolly (4 mins late)\nDeparted Ashtown next stop Broombridge	Southbound
R	53.3776	-6.39072	P321	20 May 2024	P321\n16:35 - M3 Parkway to Docklands (5 mins late)\nDeparted Coolmine next stop Castleknock	Southbound
R	53.3786	-6.19131	P617	20 May 2024	P617\n16:02 - Drogheda to Dublin Pearse (2 mins late)\nDeparted Harmonstown next stop Dublin Connolly	Southbound
R	53.3815	-6.17699	E244	20 May 2024	E244\n16:40 - Howth to Bray (1 mins late)\nArrived Raheny next stop Harmonstown	Southbound
R	53.3815	-6.17699	E932	20 May 2024	E932\n15:55 - Bray to Howth (1 mins late)\nArrived Raheny next stop Kilbarrack	Northbound
R	53.3831	-6.4242	D318	20 May 2024	D318\n16:28 - Docklands to M3 Parkway (2 mins late)\nArrived Clonsilla next stop Hansfield	Northbound
R	53.4157	-6.83395	A910	20 May 2024	A910\n16:00 - Dublin Connolly to Sligo (0 mins late)\nArrived Enfield next stop Mullingar	Northbound
R	53.4169	-6.1512	E245	20 May 2024	E245\n16:50 - Malahide to Bray (2 mins late)\nArrived Portmarnock next stop Clongriffin	Southbound
R	53.4169	-6.1512	E830	20 May 2024	E830\n15:34 - Greystones to Malahide (0 mins late)\nDeparted Portmarnock next stop Malahide	Northbound
R	53.5201	-6.1439	D817	20 May 2024	D817\n16:21 - Dublin Pearse to Drogheda (0 mins late)\nArrived Rush and Lusk next stop Skerries	Northbound
R	53.523	-7.34608	A908	20 May 2024	A908\n15:00 - Dublin Connolly to Sligo (16 mins late)\nDeparted Mullingar next stop Edgeworthstown	Northbound
R	53.5741	-6.11933	P715	20 May 2024	P715\n16:28 - Drogheda to Dublin Connolly (7 mins late)\nDeparted Skerries next stop Malahide	Southbound
R	53.6888	-7.60299	A911	20 May 2024	A911\n15:05 - Sligo to Dublin Connolly (6 mins late)\nArrived Edgeworthstown next stop Mullingar	Southbound
R	54.0007	-6.41291	A130	20 May 2024	A130\n15:20 - Dublin Connolly to Belfast (1 mins late)\nDeparted Dundalk next stop Newry	Northbound
T	53.3223	-6.52356	D413	20 May 2024	D413\n16:00 - Grand Canal Dock to Hazelhatch(-1 mins late)\nTERMINATED Hazelhatch at 16:51	Southbound
T	53.3531	-6.24591	P712	20 May 2024	P712\n15:50 - Drogheda to Dublin Connolly(-1 mins late)\nTERMINATED Dublin Connolly at 16:46	Southbound
T	53.3531	-6.24591	P750	20 May 2024	P750\n15:50 - Maynooth to Dublin Connolly(15 mins late)\nTERMINATED Dublin Connolly at 16:50	Southbound
T	53.378	-6.58993	D922	20 May 2024	D922\n15:55 - Dublin Pearse to Maynooth(1 mins late)\nTERMINATED Maynooth at 16:53	Northbound
T	53.3891	-6.07401	E931	20 May 2024	E931\n15:35 - Bray to Howth(-2 mins late)\nTERMINATED Howth at 16:47	Northbound
